country_name,GDP Growth (% Annual),Inflation (CPI %),Unemployment Rate (%),Public Debt (% of GDP),Norm_GDP_Growth,Norm_Inflation,Norm_Unemployment,Norm_Debt,Investment Score
United Kingdom,0.339966158003463,5.032770007149415,4.047499999999999,138.193489848821,0.21488817468731147,0.9530511912661122,0.8867687418749097,0.30536399817324217,0.5149920561377774
Jordan,2.67827153754409,2.08486986327134,17.9825,103.091444020189,0.23945718624363416,0.9660395615150643,0.48419760219557983,0.5098659951933152,0.48780350627824554
Singapore,1.07503175095101,3.5939628823658003,3.3129999999999997,177.001669924649,0.2226116462260595,0.9593905374927233,0.9079878665318504,0.07927032930372234,0.478374405156083
Greece,2.3321238825698,3.103145871510055,10.599499999999999,190.608142099084,0.2358201481520021,0.961553064291576,0.6974866387404305,0.0,0.4261359998672022
Afghanistan,2.71088679128353,-5.622947174357504,13.643,,0.2397998808091293,1.0,0.6095623284703162,,
Albania,3.93662525742167,3.4871268760169998,10.179,,0.252678943913151,0.9598612541176603,0.7096345514950165,,
Algeria,4.10000000000004,6.684144156208781,11.564,,0.25439555286146887,0.9457752803394568,0.6696229958110645,,
American Samoa,,,,,,,,,
Andorra,2.58355480961319,,,,0.23846197988458767,,,,
Angola,1.00128936028298,20.94229833417435,14.5005,,0.22183682114787848,0.8829542292551296,0.5847898309981221,,
Antigua and Barbuda,3.86201218730389,5.06713865364213,,,0.2518949704432971,0.952899763916536,,,
Argentina,-1.61100162090189,,7.0075,,0.19438899167839432,,0.8012566806297847,,
Aruba,4.26371941452948,,,,0.25611578334238166,,,,
Australia,3.44199220009025,4.3793146042153,3.87,,0.24748174195311348,0.9559302985289929,0.8918965766286292,,
Azerbaijan,1.12397432709641,5.49880119384491,5.615,,0.22312589501898183,0.9509978701544965,0.8414849053878376,,
Bahrain,2.9807927665851,0.4971280690184383,1.1280000000000001,,0.24263583332599328,0.9730351099654819,0.9711107901198902,,
Bangladesh,5.77511237007889,10.174625657066649,4.567,,0.27199627154377015,0.9303963109485129,0.8717607973421927,,
Barbados,4.09382010970572,9.79207077126447,7.7035,,0.2543306195993781,0.9320818376810459,0.7811497905532284,,
Belarus,3.88624214456901,5.39295906759655,3.411,,0.2521495591318682,0.951464207769936,0.9051567239635996,,
Belgium,1.25170063203595,3.5962510705699096,5.508,,0.22446793917179578,0.9593804557958734,0.8445760508450094,,
Belize,1.14901682065862,3.839700017202215,7.6335,,0.22338902117825618,0.9583078261607942,0.783172035244836,,
Benin,6.35282160914288,2.73102465280233,1.6895,,0.278066370468807,0.9631926205621996,0.9548894987722085,,
Bermuda,-0.0948235929642749,,,,0.2103197575294997,,,,
Bhutan,,3.495329947766745,2.9909999999999997,,,0.9598251115999819,0.9172901921132457,,
Bolivia,3.08196524087036,3.838326844033095,3.0575,,0.24369887141829952,0.958313876325544,0.9153690596562184,,
Botswana,2.73379817032757,3.9429834051004047,23.259500000000003,,0.24004061494994325,0.9578527622790093,0.3317492416582405,,
British Virgin Islands,,,,,,,,,
Brunei Darussalam,1.40706832327938,-0.01580492674978551,5.1635,,0.22610041653554752,0.975295079210294,0.8545283836487072,,
Burkina Faso,2.96018147384929,2.4670224462113906,5.257,,0.24241926662181182,0.9643558073183265,0.851827242524917,,
Burundi,2.70000059705133,23.576988039515,0.9115,,0.2396854975321478,0.8713458559338241,0.9773653040589341,,
Cabo Verde,5.47543591649173,3.72437517668748,11.9245,,0.2688475150486766,0.9588159443650751,0.6592084356492849,,
Cambodia,4.96006658918908,2.12746796594194,0.2475,,0.2634324332252919,0.9658518753987154,0.9965477394193268,,
Cameroon,3.24834497823876,7.38281384280984,3.5655,,0.24544705440838663,0.9426969601357894,0.9006933410371226,,
Cayman Islands,4.35967595700366,,,,0.2571240166645049,,,,
Central African Republic,0.870251450842758,2.97913852618937,5.888,,0.22045998134777262,0.9620994373829305,0.8335981510905677,,
Chad,4.12231962001739,9.867932081310904,1.081,,0.25463006927961385,0.9317475947507011,0.9724685829842553,,
Channel Islands,3.71500566060664,,6.221500000000001,,0.2503503453977912,,0.8239635995955511,,
Chile,0.218780666901552,5.93966071490243,9.0345,,0.21361485608769964,0.9490554547374879,0.7426982522028022,,
China,5.24955786387791,0.226482883666114,4.6205,,0.266474172142508,0.9742275655107461,0.8702152246136068,,
Comoros,2.99567457175966,,3.8255,,0.24279219923376216,,0.8931821464682941,,
"Congo, Dem. Rep.",8.56086250904089,,4.52,,0.30126666879642955,,0.8731185902065578,,
"Congo, Rep.",1.90686426346754,4.30174563591016,19.796,,0.23135186587049217,0.9562720653565663,0.4318070200780008,,
Costa Rica,5.11192183224598,0.055867083220582536,8.0865,,0.2650280046396151,0.9749792942255432,0.7700852231691463,,
Cote d'Ivoire,6.199999999987,3.92674510831722,2.279,,0.2764606452653076,0.9579243077861629,0.937859309547884,,
Cuba,-1.92899211214875,,1.6245,,0.1910478061674669,,0.9567672974144158,,
Curacao,4.20199999999977,,,,0.2554672859210877,,,,
Cyprus,2.61190090914745,2.67078603688239,5.85,,0.238759817649119,0.9634580303144523,0.8346959410660117,,
